time_period,time_identifier,geographic_level,country_code,country_name,region_code_origin,region_name_origin,YAG,sex,mature,selective_status,FSM,POLAR4,migration1,migration2,grads,grads_uk,unmatched_percent,overseas_percent,matched,prop_overall
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Currently elsewhere,16455,15120,0,8.11812602539953,15120,8.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Total,Total,2575,2575,0,0.0776066120833495,2575,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Total,Total,87335,86300,0,1.18623690387588,86300,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Total,Total,134015,133145,0,0.651409895759493,133145,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Total,Total,3010,3005,0,0.132956622901778,3005,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Total,Total,85100,83250,0,2.17043878822064,83250,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Total,Total,136910,135120,0,1.31033072338436,135120,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Total,Total,2665,2650,0,0.637420322459692,2650,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Total,Total,77010,74920,0,2.71653032073757,74920,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Total,Total,130385,128235,0,1.6497296468152,128235,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Total,Total,1640,1625,0,0.914634146341463,1625,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Total,Total,74845,71690,0,4.21665820484729,71690,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Total,Total,110180,107575,0,2.3643129424578,107575,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Total,505,505,0,0.198019801980198,505,19.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Total,2070,2070,0,0.0482602191013947,2070,80.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Total,64365,63530,0,1.2973090547511,63530,73.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Total,22970,22770,0,0.875016324931435,22770,26.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Left home region to study,Total,66975,66475,0,0.743572132469317,66475,49.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Total,67045,66670,0,0.559342511522456,66670,50.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Total,785,785,0,0.254452926208651,785,26.1
