time_period,time_identifier,geographic_level,country_code,country_name,academic_year,YAG,qualification_level,country_of_domicile_grouped,subject_name,grads,grads_uk,earnings_include,earnings_LQ,earnings_median,earnings_UQ,earnings_LQ_RTE,earnings_median_RTE,earnings_UQ_RTE
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Total,222895,215100,155260,19000,30400,42100,19000,30400,42100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7 (research),UK,Total,1510,1440,870,22300,35500,48700,22300,35500,48700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7 (taught),UK,Total,93685,89840,59130,19800,34000,45800,19800,34000,45800
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 8,UK,Total,7730,7300,4655,28900,42100,55600,28900,42100,55600
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,First-degree,UK,Total,253445,246635,179315,17900,25600,33700,17900,25600,33700
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 7 (research),UK,Total,1515,1445,860,21600,31800,42500,21600,31800,42500
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 7 (taught),UK,Total,97735,94580,64635,21200,31100,41400,21200,31100,41400
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 8,UK,Total,8575,8105,5580,27300,36600,46800,27300,36600,46800
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,First-degree,UK,Total,279330,273070,194390,16500,22700,29300,16500,22700,29300
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 7 (research),UK,Total,2040,1960,885,20200,30000,40300,20200,30000,40300
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 7 (taught),UK,Total,106605,103780,69955,21200,28900,39200,21200,28900,39200
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 8,UK,Total,8990,8540,5820,26700,34400,42800,26700,34400,42800
201516,Tax year,National,K02000001,United Kingdom,2013/2014,1 YAG,First-degree,UK,Total,304030,298660,198335,13200,18700,24500,13200,18700,24500
201516,Tax year,National,K02000001,United Kingdom,2013/2014,1 YAG,Level 7 (research),UK,Total,2105,2050,920,20100,28400,37000,20100,28400,37000
201516,Tax year,National,K02000001,United Kingdom,2013/2014,1 YAG,Level 7 (taught),UK,Total,103585,101710,70945,20400,25300,35900,20400,25300,35900
201516,Tax year,National,K02000001,United Kingdom,2013/2014,1 YAG,Level 8,UK,Total,9760,9330,6700,25300,31500,39500,25300,31500,39500
201617,Tax year,National,K02000001,United Kingdom,2005/2006,10 YAG,First-degree,UK,Total,229815,222220,160465,19000,30300,42300,18600,29600,41400
201617,Tax year,National,K02000001,United Kingdom,2005/2006,10 YAG,Level 7 (research),UK,Total,1845,1740,1090,22600,35400,52900,22100,34600,51700
201617,Tax year,National,K02000001,United Kingdom,2005/2006,10 YAG,Level 7 (taught),UK,Total,94375,90465,60450,19700,33900,46000,19300,33200,45000
201617,Tax year,National,K02000001,United Kingdom,2005/2006,10 YAG,Level 8,UK,Total,8050,7570,4820,29900,42300,56900,29300,41400,55700
201617,Tax year,National,K02000001,United Kingdom,2010/2011,5 YAG,First-degree,UK,Total,264445,257620,186800,18200,25900,34300,17800,25300,33500
201617,Tax year,National,K02000001,United Kingdom,2010/2011,5 YAG,Level 7 (research),UK,Total,1630,1550,955,22300,31000,42000,21800,30300,41000
201617,Tax year,National,K02000001,United Kingdom,2010/2011,5 YAG,Level 7 (taught),UK,Total,106030,102725,70345,21500,31400,42000,21100,30700,41000
201617,Tax year,National,K02000001,United Kingdom,2010/2011,5 YAG,Level 8,UK,Total,8960,8495,5805,26200,36500,46700,25600,35700,45700
201617,Tax year,National,K02000001,United Kingdom,2012/2013,3 YAG,First-degree,UK,Total,289870,283450,201685,17200,23000,29900,16800,22500,29300
201617,Tax year,National,K02000001,United Kingdom,2012/2013,3 YAG,Level 7 (research),UK,Total,2155,2070,965,21500,31400,43100,21100,30700,42100
201617,Tax year,National,K02000001,United Kingdom,2012/2013,3 YAG,Level 7 (taught),UK,Total,107145,104315,72030,21500,28800,39400,21100,28200,38500
201617,Tax year,National,K02000001,United Kingdom,2012/2013,3 YAG,Level 8,UK,Total,10135,9595,6755,26300,34300,43400,25700,33500,42500
201617,Tax year,National,K02000001,United Kingdom,2014/2015,1 YAG,First-degree,UK,Total,282830,278045,179670,14200,19700,25600,13900,19300,25000
201617,Tax year,National,K02000001,United Kingdom,2014/2015,1 YAG,Level 7 (research),UK,Total,2320,2255,1025,19700,28100,37600,19300,27500,36700
201617,Tax year,National,K02000001,United Kingdom,2014/2015,1 YAG,Level 7 (taught),UK,Total,102410,100620,70015,20800,25900,36500,20300,25300,35700
201617,Tax year,National,K02000001,United Kingdom,2014/2015,1 YAG,Level 8,UK,Total,10415,10030,7135,25600,31800,39400,25000,31000,38500
201718,Tax year,National,K02000001,United Kingdom,2006/2007,10 YAG,First-degree,UK,Total,230695,222670,162840,19300,31000,43400,18500,29600,41500
201718,Tax year,National,K02000001,United Kingdom,2006/2007,10 YAG,Level 7 (research),UK,Total,1510,1415,880,21900,36500,53700,20900,34900,51300
201718,Tax year,National,K02000001,United Kingdom,2006/2007,10 YAG,Level 7 (taught),UK,Total,95390,91510,61625,19700,33900,46000,18800,32400,43900
201718,Tax year,National,K02000001,United Kingdom,2006/2007,10 YAG,Level 8,UK,Total,8475,7935,5285,28800,42000,55800,27600,40100,53400
201718,Tax year,National,K02000001,United Kingdom,2011/2012,5 YAG,First-degree,UK,Total,279335,271000,198710,19000,26500,35000,18100,25300,33500
201718,Tax year,National,K02000001,United Kingdom,2011/2012,5 YAG,Level 7 (research),UK,Total,2040,1935,1220,22600,32100,43100,21600,30700,41200
201718,Tax year,National,K02000001,United Kingdom,2011/2012,5 YAG,Level 7 (taught),UK,Total,106600,102985,71210,22300,32100,42700,21300,30700,40800
201718,Tax year,National,K02000001,United Kingdom,2011/2012,5 YAG,Level 8,UK,Total,8990,8465,5840,27000,36900,47100,25800,35200,45000
201718,Tax year,National,K02000001,United Kingdom,2013/2014,3 YAG,First-degree,UK,Total,304045,295970,210635,17500,23700,30700,16700,22700,29300
201718,Tax year,National,K02000001,United Kingdom,2013/2014,3 YAG,Level 7 (research),UK,Total,2105,2025,985,22600,31800,43100,21600,30300,41200
201718,Tax year,National,K02000001,United Kingdom,2013/2014,3 YAG,Level 7 (taught),UK,Total,103580,100430,70170,22300,29200,40200,21300,27900,38400
201718,Tax year,National,K02000001,United Kingdom,2013/2014,3 YAG,Level 8,UK,Total,9760,9265,6740,27700,35000,44700,26500,33500,42700
201718,Tax year,National,K02000001,United Kingdom,2015/2016,1 YAG,First-degree,UK,Total,288895,282765,178405,14600,20100,25900,14000,19200,24800
201718,Tax year,National,K02000001,United Kingdom,2015/2016,1 YAG,Level 7 (research),UK,Total,2430,2335,1090,20400,28800,39400,19500,27600,37700
201718,Tax year,National,K02000001,United Kingdom,2015/2016,1 YAG,Level 7 (taught),UK,Total,103005,101025,70655,21200,26300,37200,20200,25100,35600
201718,Tax year,National,K02000001,United Kingdom,2015/2016,1 YAG,Level 8,UK,Total,10520,10050,7300,25900,32100,40900,24800,30700,39100
201819,Tax year,National,K02000001,United Kingdom,2007/2008,10 YAG,First-degree,UK,Total,244245,235330,174515,19700,31000,43800,18500,29100,41100
201819,Tax year,National,K02000001,United Kingdom,2007/2008,10 YAG,Level 7 (research),UK,Total,1450,1370,860,24800,38000,53700,23300,35600,50400
201819,Tax year,National,K02000001,United Kingdom,2007/2008,10 YAG,Level 7 (taught),UK,Total,91460,87650,60375,20100,34700,47400,18800,32500,44500
201819,Tax year,National,K02000001,United Kingdom,2007/2008,10 YAG,Level 8,UK,Total,7745,7250,5000,29200,43100,58400,27400,40400,54800
201819,Tax year,National,K02000001,United Kingdom,2012/2013,5 YAG,First-degree,UK,Total,289875,280660,208485,19700,27400,36500,18500,25700,34300
201819,Tax year,National,K02000001,United Kingdom,2012/2013,5 YAG,Level 7 (research),UK,Total,2155,2030,1280,25200,33900,47800,23600,31900,44900
201819,Tax year,National,K02000001,United Kingdom,2012/2013,5 YAG,Level 7 (taught),UK,Total,107140,103310,73915,23000,32800,43800,21600,30800,41100
201819,Tax year,National,K02000001,United Kingdom,2012/2013,5 YAG,Level 8,UK,Total,10135,9550,6920,28100,38000,48500,26400,35600,45600
201819,Tax year,National,K02000001,United Kingdom,2014/2015,3 YAG,First-degree,UK,Total,282820,274780,195710,18200,24500,31800,17100,23000,29800
201819,Tax year,National,K02000001,United Kingdom,2014/2015,3 YAG,Level 7 (research),UK,Total,2320,2220,1080,21900,32100,45300,20600,30100,42500
201819,Tax year,National,K02000001,United Kingdom,2014/2015,3 YAG,Level 7 (taught),UK,Total,102410,99295,69765,23400,30300,41600,21900,28400,39100
201819,Tax year,National,K02000001,United Kingdom,2014/2015,3 YAG,Level 8,UK,Total,10415,9870,7235,28100,36100,46000,26400,33900,43200
201819,Tax year,National,K02000001,United Kingdom,2016/2017,1 YAG,First-degree,UK,Total,299815,293590,183885,15300,20800,26600,14400,19500,25000
201819,Tax year,National,K02000001,United Kingdom,2016/2017,1 YAG,Level 7 (research),UK,Total,2420,2345,1095,19700,27400,38000,18500,25700,35600
201819,Tax year,National,K02000001,United Kingdom,2016/2017,1 YAG,Level 7 (taught),UK,Total,106065,103965,73720,21500,27000,38000,20200,25400,35600
201819,Tax year,National,K02000001,United Kingdom,2016/2017,1 YAG,Level 8,UK,Total,10415,9940,7400,26600,33200,41600,25000,31200,39100
201920,Tax year,National,K02000001,United Kingdom,2008/2009,10 YAG,First-degree,UK,Total,241525,233500,172605,20100,31800,45000,18600,29400,41600
201920,Tax year,National,K02000001,United Kingdom,2008/2009,10 YAG,Level 7 (research),UK,Total,1480,1400,925,24200,36300,50900,22300,33600,47000
201920,Tax year,National,K02000001,United Kingdom,2008/2009,10 YAG,Level 7 (taught),UK,Total,90185,86465,59320,21300,35900,49000,19700,33200,45400
201920,Tax year,National,K02000001,United Kingdom,2008/2009,10 YAG,Level 8,UK,Total,8025,7530,5170,30400,43900,58600,28100,40600,54200
201920,Tax year,National,K02000001,United Kingdom,2013/2014,5 YAG,First-degree,UK,Total,304040,295165,217975,20500,28200,37000,19000,26100,34200
201920,Tax year,National,K02000001,United Kingdom,2013/2014,5 YAG,Level 7 (research),UK,Total,2105,2020,1255,26000,35100,46900,24000,32500,43400
201920,Tax year,National,K02000001,United Kingdom,2013/2014,5 YAG,Level 7 (taught),UK,Total,103585,99895,71540,23800,33700,44700,22000,31100,41300
201920,Tax year,National,K02000001,United Kingdom,2013/2014,5 YAG,Level 8,UK,Total,9760,9250,6765,30000,39200,50900,27800,36200,47000
201920,Tax year,National,K02000001,United Kingdom,2015/2016,3 YAG,First-degree,UK,Total,288890,281355,200220,18700,24900,32200,17300,23000,29800
201920,Tax year,National,K02000001,United Kingdom,2015/2016,3 YAG,Level 7 (research),UK,Total,2430,2315,1120,24900,34400,46800,23000,31800,43300
201920,Tax year,National,K02000001,United Kingdom,2015/2016,3 YAG,Level 7 (taught),UK,Total,103000,100140,70345,23800,31500,43200,22000,29100,39900
201920,Tax year,National,K02000001,United Kingdom,2015/2016,3 YAG,Level 8,UK,Total,10520,9990,7370,28900,37000,47600,26700,34200,44000
201920,Tax year,National,K02000001,United Kingdom,2017/2018,1 YAG,First-degree,UK,Total,302715,296420,183810,15700,21600,27400,14600,20000,25400
201920,Tax year,National,K02000001,United Kingdom,2017/2018,1 YAG,Level 7 (research),UK,Total,2550,2470,1160,20500,27800,38800,19000,25700,35900
201920,Tax year,National,K02000001,United Kingdom,2017/2018,1 YAG,Level 7 (taught),UK,Total,123235,120335,86020,21200,27100,37700,19600,25000,34900
201920,Tax year,National,K02000001,United Kingdom,2017/2018,1 YAG,Level 8,UK,Total,10750,10225,7525,27400,34000,43600,25400,31500,40300
202021,Tax year,National,K02000001,United Kingdom,2009/2010,10 YAG,First-degree,UK,Total,253440,245240,180500,21200,32800,46000,19400,30100,42100
202021,Tax year,National,K02000001,United Kingdom,2009/2010,10 YAG,Level 7 (research),UK,Total,1515,1430,925,24800,39300,53300,22700,36000,48800
202021,Tax year,National,K02000001,United Kingdom,2009/2010,10 YAG,Level 7 (taught),UK,Total,97735,93685,64410,22600,36900,50400,20700,33800,46100
202021,Tax year,National,K02000001,United Kingdom,2009/2010,10 YAG,Level 8,UK,Total,8575,8035,5555,32100,44900,61300,29400,41100,56100
202021,Tax year,National,K02000001,United Kingdom,2014/2015,5 YAG,First-degree,UK,Total,282825,275945,202325,20800,28800,38000,19000,26400,34800
202021,Tax year,National,K02000001,United Kingdom,2014/2015,5 YAG,Level 7 (research),UK,Total,2320,2205,1385,27000,36500,51100,24700,33400,46800
202021,Tax year,National,K02000001,United Kingdom,2014/2015,5 YAG,Level 7 (taught),UK,Total,102410,99160,70770,25200,35000,46000,23100,32100,42100
202021,Tax year,National,K02000001,United Kingdom,2014/2015,5 YAG,Level 8,UK,Total,10415,9860,7245,31000,40500,52900,28400,37100,48500
202021,Tax year,National,K02000001,United Kingdom,2016/2017,3 YAG,First-degree,UK,Total,299820,294335,205790,19000,25200,32800,17400,23100,30100
202021,Tax year,National,K02000001,United Kingdom,2016/2017,3 YAG,Level 7 (research),UK,Total,2420,2325,1095,23700,33200,45600,21700,30400,41800
202021,Tax year,National,K02000001,United Kingdom,2016/2017,3 YAG,Level 7 (taught),UK,Total,106060,103405,72575,24700,32100,43800,22600,29400,40100
202021,Tax year,National,K02000001,United Kingdom,2016/2017,3 YAG,Level 8,UK,Total,10415,9890,7280,29600,37600,48900,27100,34400,44800
202021,Tax year,National,K02000001,United Kingdom,2018/2019,1 YAG,First-degree,UK,Total,304465,300510,177745,15300,21200,27700,14000,19400,25400
202021,Tax year,National,K02000001,United Kingdom,2018/2019,1 YAG,Level 7 (research),UK,Total,2475,2405,1190,20800,28700,39400,19000,26300,36100
202021,Tax year,National,K02000001,United Kingdom,2018/2019,1 YAG,Level 7 (taught),UK,Total,130820,128350,90425,21500,27400,38700,19700,25100,35400
202021,Tax year,National,K02000001,United Kingdom,2018/2019,1 YAG,Level 8,UK,Total,10970,10520,7735,28100,34700,44500,25700,31700,40800
202122,Tax year,National,K02000001,United Kingdom,2010/2011,10 YAG,First-degree,UK,Total,264445,256745,192290,22600,34300,48800,19500,29600,42000
202122,Tax year,National,K02000001,United Kingdom,2010/2011,10 YAG,Level 7 (research),UK,Total,1630,1540,980,27400,40200,55900,23600,34600,48200
202122,Tax year,National,K02000001,United Kingdom,2010/2011,10 YAG,Level 7 (taught),UK,Total,106030,101930,71070,24100,38300,52600,20800,33000,45300
202122,Tax year,National,K02000001,United Kingdom,2010/2011,10 YAG,Level 8,UK,Total,8960,8430,5790,32500,44900,61000,28000,38700,52600
202122,Tax year,National,K02000001,United Kingdom,2015/2016,5 YAG,First-degree,UK,Total,288895,283325,213100,22300,29900,39800,19200,25800,34300
202122,Tax year,National,K02000001,United Kingdom,2015/2016,5 YAG,Level 7 (research),UK,Total,2430,2295,1510,28500,38000,51000,24500,32700,44000
202122,Tax year,National,K02000001,United Kingdom,2015/2016,5 YAG,Level 7 (taught),UK,Total,103005,100070,72730,26600,36100,48500,23000,31200,41900
202122,Tax year,National,K02000001,United Kingdom,2015/2016,5 YAG,Level 8,UK,Total,10520,10020,7475,31800,41200,54000,27400,35600,46600
202122,Tax year,National,K02000001,United Kingdom,2017/2018,3 YAG,First-degree,UK,Total,302730,298010,215895,20200,26300,34300,17400,22700,29600
202122,Tax year,National,K02000001,United Kingdom,2017/2018,3 YAG,Level 7 (research),UK,Total,2550,2460,1245,24500,32800,46700,21100,28300,40300
202122,Tax year,National,K02000001,United Kingdom,2017/2018,3 YAG,Level 7 (taught),UK,Total,123235,120270,87635,25200,32500,44900,21700,28000,38700
202122,Tax year,National,K02000001,United Kingdom,2017/2018,3 YAG,Level 8,UK,Total,10750,10265,7705,31400,39100,51100,27100,33700,44100
202122,Tax year,National,K02000001,United Kingdom,2019/2020,1 YAG,First-degree,UK,Total,291965,289595,180725,16400,22600,29200,14200,19500,25200
202122,Tax year,National,K02000001,United Kingdom,2019/2020,1 YAG,Level 7 (research),UK,Total,2365,2305,1170,23000,29900,40200,19800,25800,34600
202122,Tax year,National,K02000001,United Kingdom,2019/2020,1 YAG,Level 7 (taught),UK,Total,118485,116675,86765,22600,28100,39400,19500,24200,34000
202122,Tax year,National,K02000001,United Kingdom,2019/2020,1 YAG,Level 8,UK,Total,10435,10005,7630,29300,35800,45600,25300,30800,39300
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Total,95195,91280,60000,19900,34000,45800,19900,34000,45800
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 7,UK,Total,99250,96025,65495,21200,31100,41400,21200,31100,41400
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 7,UK,Total,108645,105735,70840,21200,28900,39200,21200,28900,39200
201516,Tax year,National,K02000001,United Kingdom,2013/2014,1 YAG,Level 7,UK,Total,105690,103760,71870,20300,25300,35900,20300,25300,35900
201617,Tax year,National,K02000001,United Kingdom,2005/2006,10 YAG,Level 7,UK,Total,96220,92205,61540,19700,33900,46000,19300,33200,45000
201617,Tax year,National,K02000001,United Kingdom,2010/2011,5 YAG,Level 7,UK,Total,107660,104275,71300,21500,31400,42000,21100,30700,41000
201617,Tax year,National,K02000001,United Kingdom,2012/2013,3 YAG,Level 7,UK,Total,109300,106380,72995,21500,28800,39400,21100,28200,38500
201617,Tax year,National,K02000001,United Kingdom,2014/2015,1 YAG,Level 7,UK,Total,104730,102875,71040,20800,25900,36500,20300,25300,35700
201718,Tax year,National,K02000001,United Kingdom,2006/2007,10 YAG,Level 7,UK,Total,96900,92925,62505,19700,33900,46200,18800,32400,44100
201718,Tax year,National,K02000001,United Kingdom,2011/2012,5 YAG,Level 7,UK,Total,108640,104915,72430,22300,32100,42700,21300,30700,40800
201718,Tax year,National,K02000001,United Kingdom,2013/2014,3 YAG,Level 7,UK,Total,105690,102455,71155,22300,29400,40200,21300,28100,38400
201718,Tax year,National,K02000001,United Kingdom,2015/2016,1 YAG,Level 7,UK,Total,105430,103360,71745,21200,26300,37200,20200,25100,35600
201819,Tax year,National,K02000001,United Kingdom,2007/2008,10 YAG,Level 7,UK,Total,92910,89020,61235,20300,34700,47400,19000,32500,44500
201819,Tax year,National,K02000001,United Kingdom,2012/2013,5 YAG,Level 7,UK,Total,109290,105340,75195,23000,32800,43800,21600,30800,41100
201819,Tax year,National,K02000001,United Kingdom,2014/2015,3 YAG,Level 7,UK,Total,104730,101520,70845,23400,30300,41600,21900,28400,39100
201819,Tax year,National,K02000001,United Kingdom,2016/2017,1 YAG,Level 7,UK,Total,108485,106310,74815,21500,27000,38000,20200,25400,35600
201920,Tax year,National,K02000001,United Kingdom,2008/2009,10 YAG,Level 7,UK,Total,91660,87865,60245,21600,35900,49300,20000,33200,45600
201920,Tax year,National,K02000001,United Kingdom,2013/2014,5 YAG,Level 7,UK,Total,105690,101915,72795,23800,33700,44700,22000,31100,41300
201920,Tax year,National,K02000001,United Kingdom,2015/2016,3 YAG,Level 7,UK,Total,105430,102450,71465,23800,31500,43200,22000,29100,39900
201920,Tax year,National,K02000001,United Kingdom,2017/2018,1 YAG,Level 7,UK,Total,125785,122805,87180,21200,27100,37700,19600,25000,34900
202021,Tax year,National,K02000001,United Kingdom,2009/2010,10 YAG,Level 7,UK,Total,99250,95115,65335,22600,36900,50500,20700,33800,46300
202021,Tax year,National,K02000001,United Kingdom,2014/2015,5 YAG,Level 7,UK,Total,104730,101370,72155,25200,35000,46000,23100,32100,42100
202021,Tax year,National,K02000001,United Kingdom,2016/2017,3 YAG,Level 7,UK,Total,108480,105730,73675,24500,32400,43900,22400,29600,40200
202021,Tax year,National,K02000001,United Kingdom,2018/2019,1 YAG,Level 7,UK,Total,133295,130755,91610,21500,27400,38700,19700,25100,35400
202122,Tax year,National,K02000001,United Kingdom,2010/2011,10 YAG,Level 7,UK,Total,107660,103470,72055,24500,38300,52600,21100,33000,45300
202122,Tax year,National,K02000001,United Kingdom,2015/2016,5 YAG,Level 7,UK,Total,105430,102370,74240,26600,36100,48500,23000,31200,41900
202122,Tax year,National,K02000001,United Kingdom,2017/2018,3 YAG,Level 7,UK,Total,125785,122735,88880,25200,32500,44900,21700,28000,38700
202122,Tax year,National,K02000001,United Kingdom,2019/2020,1 YAG,Level 7,UK,Total,120850,118980,87940,22600,28100,39400,19500,24200,34000
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"Agriculture, food and related studies",1590,1540,1115,14300,24200,35500,14300,24200,35500
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Allied health,7125,6940,4795,16200,26700,34800,16200,26700,34800
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"Architecture, building and planning",3925,3780,2860,25600,36200,47900,25600,36200,47900
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Biosciences,7370,7105,5150,20900,30400,39500,20900,30400,39500
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Business and management,26100,25170,18750,20500,31800,47200,20500,31800,47200
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Celtic studies,20,15,5,15400,27400,32200,15400,27400,32200
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Chemistry,2120,2050,1530,24500,33700,44700,24500,33700,44700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Combined and general studies,7110,6880,4225,12400,24900,38100,12400,24900,38100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Computing,14480,14000,10635,21600,34000,47200,21600,34000,47200
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Creative arts and design,17395,16800,11850,12800,22700,32900,12800,22700,32900
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Economics,4085,3880,2880,29700,47600,76100,29700,47600,76100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Education and teaching,8370,8195,6325,16800,27400,35100,16800,27400,35100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Engineering,9725,9250,7070,29300,40600,53400,29300,40600,53400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,English studies,9740,9430,6920,17200,27400,36600,17200,27400,36600
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"General, applied and forensic sciences",1225,1185,855,19400,28900,38400,19400,28900,38400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"Geography, earth and environmental studies",6860,6560,5045,22000,31500,42100,22000,31500,42100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Health and social care,3210,3150,2200,16100,26400,33700,16100,26400,33700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,History and archaeology,8970,8645,6380,19800,30000,41700,19800,30000,41700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Languages and area studies,5635,5195,3485,19400,30700,44700,19400,30700,44700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Law,9995,9705,7135,21600,33300,50100,21600,33300,50100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Materials and technology,1765,1665,1225,18700,32200,45800,18700,32200,45800
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Mathematical sciences,3835,3695,2770,28200,39900,60800,28200,39900,60800
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"Media, journalism and communications",6965,6730,5110,17900,27100,36600,17900,27100,36600
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Medical sciences,2115,2055,1360,24200,34800,46100,24200,34800,46100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Medicine and dentistry,5375,5190,2915,36600,54900,68100,36600,54900,68100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Nursing and midwifery,8345,8140,5280,20900,30000,37000,20900,30000,37000
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Performing arts,7185,6970,4980,14300,23800,33700,14300,23800,33700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"Pharmacology, toxicology and pharmacy",1695,1660,1165,19400,33300,45400,19400,33300,45400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Philosophy and religious studies,2680,2570,1705,18700,29600,41700,18700,29600,41700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Physics and astronomy,1980,1860,1420,28500,37700,52000,28500,37700,52000
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Politics,3560,3380,2395,23800,35100,51200,23800,35100,51200
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Psychology,9005,8750,6145,16800,26400,35100,16800,26400,35100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,"Sociology, social policy and anthropology",8215,7995,5740,16500,26000,34800,16500,26000,34800
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Sport and exercise sciences,4545,4385,3455,21600,30400,38100,21600,30400,38100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Veterinary sciences,600,575,395,17900,31500,43900,17900,31500,43900
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,"Agriculture, food and related studies",355,340,205,19800,31500,42100,19800,31500,42100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Allied health,3310,3210,1985,19600,33300,43900,19600,33300,43900
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,"Architecture, building and planning",2665,2540,1770,22700,35500,49000,22700,35500,49000
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Biosciences,975,930,615,21600,32600,41400,21600,32600,41400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Business and management,16725,15870,10175,26000,44300,69500,26000,44300,69500
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Celtic studies,10,10,5,9500,16800,24400,9500,16800,24400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Chemistry,250,240,170,24900,36500,47900,24900,36500,47900
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Combined and general studies,410,400,250,17200,27800,39900,17200,27800,39900
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Computing,2985,2840,1840,22000,38400,57500,22000,38400,57500
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Creative arts and design,1960,1885,1110,10100,20900,34400,10100,20900,34400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Economics,700,650,400,33700,55600,97400,33700,55600,97400
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7,UK,Education and teaching,7935,7700,4890,17600,33300,44300,17600,33300,44300
